Country,City,AccentCity,Region,Population,Latitude,Longitude
ie,ardkeeran,Ardkeeran,25,,54.0533333,-8.5255556
ie,ardled,Ardled,15,,52.979722200000005,-7.3805556
ie,ardlona,Ardlona,25,,53.9475,-8.3919444
ie,ardlougher,Ardlougher,02,,54.0619444,-7.5755555999999995
ie,ardloy,Ardloy,25,,54.1005556,-8.405
ie,ardmeen,Ardmeen,06,,54.97777779999999,-8.26
ie,ardmoneen,Ardmoneen,02,,54.1105556,-7.823611099999999
ie,ardmore,Ardmore,06,,55.079722200000006,-7.2775
ie,ardmore,Ardmore,10,,53.31527779999999,-9.7691667
ie,ardmore,Ardmore,11,,51.8069444,-9.9905556
ie,ardmore,Ardmore,12,,53.0305556,-6.965
ie,ardmore,Ardmore,27,,51.9491667,-7.725277799999999
ie,ardmorney,Ardmorney,29,,53.3836111,-7.4666667
ie,ardnacrusha,Ardnacrusha,03,,52.6833333,-8.616666699999998
ie,ardnacrushy,Ardnacrushy,04,,51.9263889,-9.009166699999998
ie,ardnaglass,Ardnaglass,06,,54.81527779999999,-7.549722200000001
ie,ardnaglass upper,Ardnaglass Upper,25,,54.3791667,-8.4811111
ie,ardnagreevagh,Ardnagreevagh,10,,53.604722200000005,-10.0102778
ie,ardnaree,Ardnaree,06,,55.0591667,-7.628611099999999
ie,ardnaree,Ardnaree,20,,54.1088889,-9.1511111
ie,ardnasodan,Ardnasodan,10,,53.406388899999996,-8.8130556
ie,ardogelly,Ardogelly,25,,54.2533333,-8.776666699999998
ie,ardpatrick,Ardpatrick,16,,52.3422222,-8.526666699999998
ie,ardrahan,Ardrahan,10,,53.1575,-8.805833300000002
ie,ardrahan,Ardrahan,11,,52.3536111,-9.756111099999998
ie,ardrah,Ardrah,04,,51.743333299999996,-9.348333300000002
ie,ard raithin,Ard Raithin,10,,53.1575,-8.805833300000002
ie,ardranny,Ardranny,10,,53.25,-8.3
ie,ards,Ards,06,,55.021666700000004,-7.6833333
ie,ards,Ards,18,,53.6333333,-7.8333333
ie,ardsbeg,Ardsbeg,06,,55.1166667,-8.15
ie,ardscull,Ardscull,12,,53.0175,-6.9091667
ie,ardskeagh cross roads,Ardskeagh Cross Roads,04,,52.3338889,-8.6280556
ie,ardskea more,Ardskea More,10,,53.417777799999996,-8.846111099999998
ie,ardsollus,Ardsollus,03,,52.7975,-8.888888900000001
ie,ardsollus bridge,Ardsollus Bridge,03,,52.7975,-8.888888900000001
ie,ardtully,Ardtully,19,,53.994722200000005,-6.175
ie,ardvally,Ardvally,06,,54.74,-8.3608333
ie,ardvally,Ardvally,20,,54.1430556,-9.115277800000001
ie,ardy,Ardy,06,,55.1166667,-7.5166667
ie,ardywanig,Ardywanig,11,,52.1477778,-9.6627778
ie,argideen bridge,Argideen Bridge,04,,51.66111110000001,-8.995
ie,arigna,Arigna,24,,54.07777779999999,-8.105555599999999
ie,arigna bridge,Arigna Bridge,13,,52.7269444,-7.371111099999999
ie,arklow,Arklow,31,10622.0,52.793055599999995,-6.1413889
